Undecided,Age,HomeOwner,Female,Married,HouseholdSize,Income,Education,Church
0,43,1,1,1,4,119.0,20,1
1,55,1,1,1,5,176.0,18,0
0,55,1,1,1,3,78.5,20,1
0,54,1,0,0,1,99.0,18,0
1,48,1,1,1,6,88.0,18,0
0,43,0,0,0,1,24.0,8,1
1,43,1,0,1,5,18.0,13,1
1,58,0,1,1,4,83.0,20,0
0,59,1,0,0,3,71.0,20,0
1,51,1,1,1,3,164.0,13,1
0,74,1,1,1,3,99.0,20,1
1,55,1,1,1,5,51.0,20,0
1,31,1,0,1,6,151.0,15,0
1,51,1,1,1,3,127.0,18,0
1,44,1,1,1,3,94.0,15,1
0,52,1,1,1,4,190.0,10,1
0,54,1,1,1,3,92.0,20,1
0,66,1,0,1,2,68.0,20,0
0,48,0,0,1,3,85.0,20,0
0,54,1,0,1,4,126.0,18,1
1,48,1,1,1,5,127.0,18,0
1,64,1,0,1,3,100.0,16,0
0,76,1,0,1,3,22.0,20,0
1,62,0,1,0,3,65.5,20,0
0,54,0,1,1,4,107.5,18,1
0,53,1,1,1,6,214.0,18,1
1,39,1,0,1,4,91.0,15,0
0,46,1,0,1,6,77.0,8,1
0,69,0,0,1,4,85.5,10,0
0,53,1,0,1,2,85.0,20,1
1,39,1,1,1,4,118.0,15,1
1,43,1,1,1,4,233.0,18,0
0,61,1,1,0,3,17.0,20,1
0,66,1,1,0,2,38.0,20,1
0,44,1,1,1,3,157.0,12,1
0,52,0,1,0,1,69.0,20,1
1,45,1,1,1,5,61.0,20,0
0,60,1,0,1,2,134.0,20,0
1,37,1,1,1,3,161.0,18,0
0,47,1,1,1,3,101.0,12,1
0,46,0,1,1,4,123.0,18,1
1,46,1,1,0,1,85.0,18,0
1,61,1,1,1,5,108.0,20,0
1,51,1,1,1,2,60.0,18,0
0,41,1,1,1,4,99.0,18,1
1,57,1,1,1,5,87.0,16,0
0,47,1,0,0,1,94.0,20,0
1,43,1,1,1,3,73.0,15,1
0,50,1,1,1,3,44.0,18,1
0,35,1,0,1,3,90.0,18,1
0,39,1,0,0,1,55.5,8,0
0,53,1,1,1,5,24.0,18,1
0,52,1,1,1,4,57.0,8,0
0,55,1,0,1,4,237.0,20,0
0,56,1,0,1,4,56.0,20,1
0,58,1,0,1,2,55.0,8,1
0,48,1,0,0,1,163.0,20,1
0,69,1,1,1,2,30.0,20,1
1,52,1,1,1,4,150.0,20,0
1,54,1,0,1,2,63.0,13,0
1,42,1,1,0,1,108.0,15,0
0,33,1,1,1,2,111.5,8,0
1,37,0,1,1,4,107.0,15,0
1,51,1,1,1,3,82.0,20,0
1,36,1,0,1,3,160.0,15,1
1,53,1,1,0,1,9.0,20,0
1,51,1,0,1,4,56.0,16,1
1,46,1,1,1,2,96.0,18,0
0,48,1,1,1,2,140.0,20,1
0,39,1,1,0,4,31.0,18,1
1,46,1,1,1,2,67.0,20,0
1,64,1,1,1,3,16.0,13,0
0,53,1,1,1,5,124.0,8,1
1,47,1,1,1,4,103.0,18,0
1,57,1,0,1,3,108.0,13,1
0,52,0,0,0,1,132.0,8,1
1,43,1,1,1,2,70.0,18,0
1,49,1,1,1,4,222.0,20,0
0,51,0,1,0,1,131.5,18,1
0,41,0,1,1,2,108.0,18,1
1,62,1,1,1,2,61.0,20,0
0,57,1,1,0,1,7.0,8,1
1,46,1,1,0,1,82.0,18,0
0,31,1,0,1,4,135.0,18,1
0,61,1,0,1,3,77.0,20,1
0,40,1,1,1,3,135.0,18,1
0,47,1,0,1,4,132.0,12,0
0,37,1,1,1,4,170.0,18,1
1,47,1,1,1,4,163.0,13,0
0,54,1,1,1,6,147.0,12,1
1,47,1,1,1,5,92.0,13,1
1,36,1,1,1,7,60.0,15,1
1,49,1,0,1,4,138.0,16,1
0,63,1,1,1,5,450.0,20,1
1,37,1,0,1,3,20.0,12,1
0,61,0,0,1,3,95.0,20,0
0,41,1,1,0,2,22.0,10,1
0,48,1,1,1,2,64.0,20,1
0,54,1,0,1,3,110.5,8,1
1,46,1,1,1,3,101.0,18,0
0,46,1,1,1,2,62.0,9,0
0,46,0,1,0,1,135.5,8,0
0,47,1,0,1,3,177.0,20,1
0,50,1,0,1,4,97.0,20,0
0,37,1,0,1,4,58.0,18,1
1,61,1,1,1,2,59.0,20,1
1,61,1,0,1,6,12.0,16,1
0,44,0,1,1,5,202.0,18,1
1,42,0,1,1,5,59.0,18,0
0,38,1,0,1,3,141.0,18,0
0,40,1,1,1,4,56.0,18,1
0,69,1,1,1,2,99.0,20,1
0,43,0,1,1,5,136.0,8,0
1,35,1,1,1,6,28.0,15,0
0,49,1,1,1,2,117.0,12,1
1,58,1,1,1,2,112.0,20,0
0,57,1,1,1,2,108.0,8,1
1,62,0,1,0,2,10.0,8,1
0,45,1,1,1,2,98.0,18,1
1,33,1,1,1,3,21.0,18,1
1,68,1,0,1,5,120.0,16,1
0,43,1,1,1,6,77.0,12,0
0,44,1,1,0,5,79.5,18,1
0,70,1,0,1,3,41.0,20,1
1,58,0,1,1,3,16.0,16,0
0,53,1,0,1,2,68.0,20,0
1,43,1,1,1,6,119.0,15,1
0,59,1,0,1,2,80.0,20,1
0,56,1,1,1,6,101.0,12,0
0,43,1,1,1,4,85.0,20,1
0,51,0,0,1,3,107.0,9,0
1,73,1,1,1,3,64.0,16,0
0,54,0,0,1,3,49.0,8,0
0,43,0,1,1,2,107.0,20,1
1,49,1,1,1,4,154.0,15,1
1,51,1,0,1,6,159.0,16,1
0,52,1,0,0,1,66.0,20,0
1,47,1,1,0,1,34.0,20,0
1,45,1,1,0,1,5.0,18,0
0,75,1,1,0,1,67.0,20,1
0,43,1,1,1,5,87.0,8,0
1,32,1,1,1,3,37.0,15,0
1,64,1,1,1,4,75.0,20,0
1,70,1,1,0,1,115.0,20,0
0,52,1,1,1,2,69.5,20,1
0,52,1,0,1,3,43.0,10,0
0,48,1,0,1,3,90.0,20,0
0,51,1,1,1,2,155.0,18,1
0,70,0,1,0,1,98.0,8,1
0,34,1,1,1,3,4.0,18,1
1,34,1,0,1,3,126.0,15,0
1,53,1,1,1,5,56.0,15,1
1,31,1,0,1,5,108.0,15,1
0,43,1,1,1,3,94.0,18,1
0,50,1,0,0,2,118.0,20,1
0,46,1,0,1,5,153.0,18,1
1,64,1,0,1,4,142.0,20,0
1,59,1,1,1,4,40.0,20,0
0,42,1,1,1,4,196.0,18,1
1,37,1,0,1,5,48.0,15,1
1,49,0,1,1,3,112.0,13,0
0,46,1,1,0,1,366.0,18,1
1,60,0,1,1,2,113.0,20,0
0,54,1,1,1,4,46.0,18,1
0,40,1,1,1,6,270.0,15,0
0,50,1,0,1,4,152.0,18,1
1,31,1,0,1,5,136.0,15,1
0,45,1,1,1,3,134.0,18,1
0,65,1,1,0,4,58.0,8,0
0,36,1,1,1,5,91.0,18,1
0,42,1,1,1,6,239.0,12,0
0,35,0,1,1,6,152.0,12,1
1,58,1,1,1,3,88.0,20,0
0,37,1,1,1,5,142.0,18,1
0,49,0,0,1,7,117.0,8,0
0,34,1,1,1,4,94.0,12,0
0,35,1,1,1,6,229.0,15,1
0,54,1,1,1,2,32.0,20,1
0,42,1,1,0,1,216.0,18,1
1,48,1,1,0,1,61.0,18,0
1,31,1,1,1,4,109.0,15,1
1,57,1,1,1,2,50.0,16,1
0,55,0,0,1,5,37.5,8,1
1,36,1,1,1,6,142.0,15,1
1,47,1,0,0,2,31.0,18,1
0,45,1,0,1,3,258.0,8,0
1,29,1,1,1,7,131.0,15,0
1,68,1,1,1,4,63.0,16,0
0,59,1,1,0,1,41.0,20,1
0,42,1,1,0,3,48.0,18,1
0,61,1,0,1,3,127.0,20,0
0,59,1,0,1,4,219.0,16,1
1,44,1,0,0,1,59.0,18,1
1,41,1,0,1,3,70.0,15,0
0,43,1,1,1,3,260.0,20,1
1,55,1,1,1,2,178.0,18,0
0,43,0,1,0,1,25.0,8,0
1,45,0,1,1,3,6.0,20,0
1,62,1,1,0,1,131.0,20,0
0,46,1,1,1,6,205.0,12,0
0,61,1,1,1,3,26.0,20,1
1,47,1,1,1,7,165.0,15,1
0,47,1,1,0,2,113.0,18,1
0,53,1,1,1,5,220.0,20,1
0,44,1,1,1,2,235.0,8,1
0,45,1,1,0,4,11.0,18,1
1,69,1,1,1,3,218.0,20,0
0,46,1,1,1,4,187.0,12,1
1,37,1,1,1,2,81.5,15,0
1,57,1,1,1,3,68.5,15,0
1,50,1,1,1,2,83.0,15,1
0,51,1,1,1,5,539.0,18,1
0,41,1,1,0,1,491.0,18,1
0,34,1,1,1,4,290.0,15,0
1,69,1,1,0,2,50.0,20,0
0,30,1,1,1,6,291.0,15,0
1,48,0,1,1,2,210.0,20,0
0,60,1,1,0,2,75.0,20,1
0,58,1,1,0,1,107.5,8,1
0,55,1,1,1,6,107.0,20,1
1,30,1,0,1,2,158.0,15,0
0,30,1,1,1,5,504.0,15,0
0,53,1,0,1,2,159.0,10,0
0,45,1,0,1,3,179.0,16,0
1,42,1,1,0,1,64.0,20,0
1,58,1,1,1,6,18.0,15,1
1,34,1,1,1,6,173.0,15,1
0,54,1,1,0,1,48.0,18,1
1,62,1,1,0,1,30.0,20,0
0,32,1,1,1,4,424.0,15,0
0,36,1,1,1,4,127.0,18,1
0,49,1,1,1,4,45.5,18,1
0,34,1,1,1,2,256.0,15,0
1,37,1,1,1,5,17.0,15,0
0,44,1,1,1,4,130.0,12,0
1,60,1,1,1,2,102.0,20,0
1,41,1,0,1,4,56.0,15,1
0,43,1,0,1,3,131.0,12,1
0,51,0,0,1,2,58.0,18,1
0,50,0,0,1,2,47.0,8,1
0,63,1,1,1,2,110.0,20,1
0,32,0,0,1,3,187.0,12,0
0,36,1,1,0,1,94.0,9,0
0,48,1,1,0,1,44.0,18,1
1,55,1,1,1,5,52.0,20,0
1,47,1,1,1,6,17.0,15,0
0,47,1,1,1,4,88.5,20,1
0,34,1,0,1,4,175.0,15,0
0,43,1,1,1,4,38.0,8,1
1,47,1,1,1,3,137.0,18,0
0,32,1,1,1,5,96.0,8,0
1,48,1,1,1,4,144.0,18,0
1,41,1,1,1,6,132.0,15,0
0,63,1,0,1,4,22.0,8,1
0,40,1,0,0,3,60.0,8,0
0,49,1,1,1,3,124.0,18,1
1,43,1,1,1,3,21.0,18,0
1,62,0,1,0,1,44.0,20,0
0,68,1,0,1,3,122.0,20,1
0,52,1,1,1,4,24.0,10,0
0,41,0,1,0,3,26.0,8,0
0,54,1,0,0,1,111.0,20,1
1,44,1,1,1,6,67.0,15,0
0,58,1,0,1,5,344.0,16,0
1,64,1,1,1,2,120.0,20,0
0,47,1,1,0,2,48.0,18,1
0,28,1,1,1,7,82.0,12,1
0,35,1,0,1,4,189.0,18,0
1,51,1,1,1,2,56.0,20,0
1,50,1,1,0,1,85.5,15,1
0,43,0,1,0,6,22.0,10,1
0,53,1,1,1,2,47.0,10,0
1,49,1,1,1,4,171.0,20,0
0,42,1,1,0,3,57.0,12,0
0,45,1,1,1,5,184.0,9,1
0,45,1,1,1,4,183.0,15,1
0,47,1,1,0,1,491.0,15,0
0,48,1,1,1,2,64.0,20,1
1,48,1,1,1,3,182.0,20,0
0,56,1,0,1,2,62.0,20,0
1,59,1,1,1,3,98.0,20,0
0,53,1,1,1,6,69.0,12,1
0,40,1,1,0,3,14.0,18,1
1,46,1,1,1,3,55.0,18,0
1,57,1,1,1,4,96.0,20,0
1,53,1,0,1,6,27.0,16,0
0,55,1,1,0,2,52.0,9,0
1,56,1,1,0,1,46.5,18,0
0,64,1,0,1,4,115.0,20,0
0,53,1,1,0,2,28.0,10,0
0,67,1,0,1,4,70.0,20,0
0,44,0,0,1,5,199.0,15,1
1,34,0,1,1,2,116.0,18,0
1,49,1,1,1,2,146.0,18,0
0,49,1,1,1,2,47.0,8,0
1,45,1,0,1,5,113.0,16,0
0,60,0,0,0,2,5.0,20,1
1,47,1,1,1,5,88.0,15,0
0,58,1,1,1,4,84.0,18,1
0,42,1,1,1,3,75.0,12,1
0,43,1,1,1,3,55.0,18,1
0,60,1,1,0,1,90.0,20,1
1,45,1,1,1,7,187.0,13,1
0,67,1,1,0,1,4.0,20,1
0,50,1,1,1,3,33.0,18,1
1,68,1,1,0,1,37.0,13,1
0,39,1,0,1,3,174.0,8,1
1,39,1,1,0,1,88.0,18,0
0,57,1,1,1,5,301.0,15,0
1,54,1,1,1,5,101.0,16,1
1,46,1,1,1,5,162.0,20,0
1,49,1,1,1,6,145.0,15,0
0,57,1,1,0,1,158.0,18,1
0,62,1,0,1,3,21.0,10,0
0,45,1,1,1,5,80.0,18,1
0,67,1,1,1,2,236.0,20,1
1,40,1,0,1,4,151.0,15,0
1,44,1,1,1,5,73.0,15,0
1,66,1,1,0,1,80.0,20,0
1,55,1,1,1,5,144.0,20,0
1,35,1,1,1,3,136.5,15,1
1,34,1,1,1,2,135.0,15,1
1,52,1,0,0,1,106.0,15,1
0,36,1,1,1,4,84.0,18,1
0,54,1,1,1,3,54.0,20,1
0,45,1,1,1,2,91.0,18,1
1,55,1,1,1,2,6.0,18,0
0,32,1,1,1,5,225.0,15,0
0,49,0,0,1,4,104.0,18,0
1,50,1,1,1,3,128.0,20,0
1,66,1,1,1,6,90.0,13,1
0,67,1,1,0,1,6.0,20,1
0,38,0,1,1,4,79.0,8,0
1,32,1,1,1,7,82.0,15,1
1,35,1,1,1,3,72.0,18,0
0,47,1,1,1,3,86.0,12,0
0,47,0,1,0,1,140.0,8,1
1,54,1,1,1,2,113.0,18,0
1,58,1,1,1,2,143.0,20,0
1,39,1,1,1,3,149.0,15,1
1,41,1,0,1,5,53.0,16,0
0,50,1,1,0,1,63.0,18,1
0,43,0,1,1,5,122.0,8,0
0,56,1,1,1,2,41.0,20,1
1,42,1,1,1,3,70.0,18,0
0,48,0,0,0,1,145.0,20,0
1,48,0,1,0,1,4.0,20,0
1,55,0,1,1,4,133.0,15,0
0,71,0,0,1,2,38.0,8,1
1,48,1,1,1,4,145.0,18,0
1,42,1,1,1,4,162.0,15,1
0,52,1,0,1,5,139.0,18,1
1,49,1,1,1,2,95.0,18,0
0,43,1,1,1,4,285.0,15,0
0,48,1,1,1,5,160.0,8,0
0,50,1,1,1,4,271.0,15,1
1,34,1,1,0,2,77.0,15,0
0,34,1,0,0,2,12.5,8,1
0,56,1,1,0,1,88.0,20,1
0,50,1,0,0,5,46.0,12,1
0,61,1,1,1,2,11.0,8,0
0,47,1,0,1,3,41.0,12,1
1,34,1,1,1,3,134.0,15,0
0,44,1,1,1,4,247.0,15,0
0,53,1,1,1,4,174.0,20,1
1,50,1,1,0,1,41.0,20,0
0,67,1,0,1,6,9.0,20,1
0,62,1,1,1,5,137.5,20,1
0,39,1,1,1,4,477.0,15,1
0,54,1,1,1,2,90.0,20,1
1,44,1,1,1,7,73.0,15,1
0,47,0,1,1,3,63.0,8,0
0,54,1,1,1,6,26.0,8,0
1,64,1,0,1,2,93.0,13,1
1,48,1,1,1,2,137.0,20,0
1,47,1,1,1,3,45.0,16,1
1,62,1,1,1,2,76.0,20,0
0,38,1,1,0,1,236.0,8,0
0,40,1,1,1,2,38.5,8,0
0,44,0,1,1,2,80.0,8,0
0,67,1,0,1,4,114.0,20,0
0,59,1,1,1,3,139.0,20,1
0,49,1,1,1,5,152.0,9,0
0,59,1,0,1,2,46.5,20,0
0,52,1,1,1,3,209.0,18,1
1,50,1,1,1,3,66.0,15,1
1,54,1,1,1,3,82.0,16,1
1,40,1,0,1,5,101.0,15,1
0,47,1,0,1,4,154.0,8,1
0,53,1,0,1,3,167.0,20,1
0,33,1,0,1,6,178.0,15,1
1,42,1,0,0,1,79.0,15,1
0,43,1,1,1,3,40.0,20,1
1,57,1,1,1,5,88.0,16,1
1,57,0,1,1,6,33.0,20,0
0,56,1,1,1,2,181.0,16,0
0,48,0,1,0,3,57.0,8,1
0,52,1,1,0,1,146.0,20,1
1,45,1,1,1,3,121.0,18,0
0,49,1,0,0,2,239.0,18,0
0,43,1,1,0,2,80.0,8,1
0,48,1,1,1,2,62.0,18,1
0,50,1,0,0,1,25.0,20,1
0,32,1,1,0,4,56.0,8,0
0,63,1,0,1,4,47.0,20,0
0,50,1,1,1,3,105.0,8,1
0,64,1,1,0,1,46.0,20,1
0,57,0,1,1,3,131.0,8,1
1,49,1,1,0,1,57.0,20,0
1,52,1,1,1,3,97.0,15,1
0,47,1,1,1,4,81.0,18,1
1,30,1,1,1,2,54.0,15,0
0,55,0,1,1,3,96.0,18,1
0,54,0,1,0,2,15.0,8,0
0,53,1,1,1,2,54.0,20,1
0,44,1,1,0,4,41.0,12,1
1,46,1,0,1,5,62.0,15,0
0,32,1,1,1,4,109.0,12,1
1,58,1,1,0,1,55.0,20,0
1,68,1,1,1,4,43.0,20,0
0,37,0,1,1,4,110.0,12,0
0,43,1,0,0,1,186.0,20,0
0,50,1,1,1,5,127.0,18,1
1,73,1,1,0,2,12.5,16,1
1,47,1,1,1,5,147.0,15,1
1,44,1,0,1,3,118.0,15,0
0,47,1,1,1,3,159.0,18,1
0,39,1,1,1,3,68.0,18,1
1,41,0,1,0,1,10.0,15,0
0,47,0,1,1,5,299.0,12,0
0,56,1,1,1,2,28.0,20,1
0,63,0,1,1,4,28.0,20,1
0,30,1,1,1,5,128.0,12,1
0,47,1,0,1,3,120.0,20,0
1,51,1,1,1,6,18.0,15,1
1,32,1,1,1,6,146.0,15,0
0,40,1,1,1,6,121.0,12,1
0,36,1,1,1,4,102.0,9,1
0,47,1,0,1,4,77.0,18,1
1,48,1,1,1,4,133.0,18,0
0,59,1,1,0,1,59.0,20,1
0,47,1,1,1,4,133.0,9,1
0,46,1,1,1,4,258.0,15,1
1,42,1,1,1,2,168.0,15,0
1,43,1,1,1,2,88.0,18,0
0,55,1,1,1,6,154.0,10,1
1,35,0,1,1,3,120.0,15,1
1,53,1,1,1,4,109.0,18,0
1,34,1,1,1,5,133.0,15,0
0,38,1,1,1,3,84.0,12,1
0,50,0,1,1,3,91.5,9,0
1,46,1,1,1,4,104.0,15,1
1,36,1,1,0,2,54.0,12,1
0,44,1,0,1,3,70.0,18,1
1,43,0,1,1,2,120.0,20,0
1,33,1,1,1,5,56.0,15,1
0,35,1,0,1,3,22.0,18,1
0,38,1,1,1,5,211.0,15,0
0,37,1,1,0,1,196.0,18,1
0,40,1,1,1,5,324.0,8,1
0,41,0,1,1,3,21.0,8,1
1,55,1,1,1,2,71.0,20,0
0,43,1,1,1,3,147.0,12,0
0,41,1,1,1,2,71.0,18,1
0,43,1,1,1,3,119.0,18,1
0,59,1,0,1,4,364.0,20,1
0,59,1,1,1,3,47.0,20,1
0,62,0,1,1,3,50.0,10,1
0,51,1,1,1,4,79.0,20,1
1,40,0,1,0,4,17.0,15,0
1,63,0,1,1,6,50.0,16,1
1,49,1,0,1,5,108.0,15,0
1,41,1,1,1,5,151.0,15,0
1,50,1,1,1,3,183.0,18,0
0,50,1,1,1,3,101.0,20,1
0,67,1,0,1,3,22.0,10,1
0,70,1,1,1,5,457.0,16,1
0,63,1,0,1,4,165.0,20,1
0,43,1,1,0,4,63.0,20,1
0,41,1,1,1,6,51.0,12,0
0,45,0,1,1,3,193.0,15,0
1,64,1,1,1,2,124.0,20,0
0,40,1,1,1,2,214.0,18,1
0,45,1,1,1,2,59.5,9,0
1,54,1,1,1,4,97.0,16,1
0,57,1,1,0,1,33.0,8,0
1,65,1,1,1,3,84.0,20,0
1,43,1,0,1,4,91.0,13,1
0,54,1,1,1,2,143.0,20,1
0,65,1,0,1,5,139.0,20,0
1,52,1,1,1,4,108.0,18,0
0,37,1,1,1,3,81.0,9,1
0,54,0,1,0,3,87.0,18,1
1,46,1,1,1,3,108.0,20,0
0,52,1,0,1,3,97.0,20,1
1,40,1,1,1,3,119.0,15,0
0,32,1,1,1,7,114.0,12,1
0,40,0,0,1,3,84.0,8,1
0,48,1,1,1,4,176.0,20,1
0,51,1,0,1,5,93.0,20,1
0,47,1,1,0,1,24.0,20,1
0,47,0,1,0,1,32.0,8,0
0,59,0,1,1,3,63.0,8,1
0,47,1,1,1,2,36.0,18,1
0,37,0,1,1,3,130.0,9,1
1,45,1,1,1,5,86.0,15,1
0,47,1,1,0,1,102.5,20,1
0,67,1,1,1,2,193.0,8,0
1,65,0,1,0,1,157.0,20,0
0,48,1,1,1,5,121.0,20,1
1,57,1,1,1,6,103.0,20,0
0,66,1,1,0,1,51.0,20,1
1,52,1,0,1,7,114.0,16,1
1,69,1,1,1,3,121.0,20,0
0,60,0,1,1,3,17.0,8,1
0,40,0,0,0,2,62.0,18,1
0,47,1,1,0,1,87.0,9,1
1,42,0,0,1,6,132.0,15,1
0,48,1,1,1,5,329.0,20,0
0,64,0,1,1,3,30.0,20,1
1,46,1,1,1,5,4.0,16,0
0,41,1,1,1,5,197.0,13,1
0,52,1,1,0,1,162.0,20,1
1,48,1,1,1,5,134.0,16,0
0,61,1,1,1,3,95.0,20,1
1,64,1,1,1,3,153.0,20,0
1,50,1,1,0,2,25.0,20,0
1,53,1,1,1,4,39.0,20,0
1,52,1,1,1,5,21.0,16,0
1,45,1,1,1,4,218.0,18,0
1,58,1,1,1,3,39.0,20,0
1,59,1,1,1,2,132.0,16,0
0,41,1,1,1,3,85.0,20,1
0,37,1,1,1,4,76.0,18,1
1,74,1,1,1,4,21.0,20,0
0,39,1,1,1,7,144.0,18,1
0,46,0,1,1,6,114.0,8,1
0,50,1,1,1,5,13.0,20,1
0,62,0,1,1,5,64.0,8,1
1,43,1,1,1,2,66.0,9,1
1,31,1,0,1,3,79.0,15,1
0,70,1,1,1,2,68.0,20,1
0,55,1,1,1,3,489.0,18,0
1,63,1,1,0,1,55.0,20,0
0,46,1,1,1,3,133.0,9,0
1,48,1,1,1,2,40.0,18,0
0,55,1,1,1,4,120.0,20,1
0,52,0,1,1,3,5.0,12,1
0,49,1,0,1,5,69.0,18,1
