,Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Type of ownership,Industry,Sector,Revenue,min_salary,max_salary,avg_salary,job_state,same_state,company_age,python,excel,hadoop,spark,aws,tableau,big_data,job_simp,seniority
10,DATA SCIENTIST,137-171 ,4.5,NOVETTA,"Herndon, VA","Mc Lean, VA",501 to 1000 employees,COMPANY - PRIVATE,ENTERPRISE SOFTWARE & NETWORK SOLUTIONS,Information Technology,$100 to $500 million (USD),137,171,154, VA,0,8.0,1,1,0,0,1,0,0,data scientist,na
11,DATA SCIENTIST,137-171 ,4.7,1904LABS,"Saint Louis, MO","Saint Louis, MO",51 to 200 employees,COMPANY - PRIVATE,IT SERVICES,Information Technology,Unknown / Non-Applicable,137,171,154, MO,1,4.0,1,0,0,1,0,0,0,data scientist,na
12,"DATA SCIENTIST - STATISTICS, EARLY CAREER",137-171 ,3.7,PNNL,"Richland, WA","Richland, WA",1001 to 5000 employees,GOVERNMENT,ENERGY,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),137,171,154, WA,1,55.0,0,1,0,0,0,0,0,data scientist,na
13,DATA MODELER,137-171 ,3.1,OLD WORLD INDUSTRIES,"Northbrook, IL","Northbrook, IL",201 to 500 employees,COMPANY - PRIVATE,CHEMICAL MANUFACTURING,Manufacturing,$1 to $2 billion (USD),137,171,154, IL,1,47.0,1,1,0,0,0,1,0,na,na
14,DATA SCIENTIST,137-171 ,3.4,MATHEMATICA POLICY RESEARCH,"Washington, DC","Princeton, NJ",1001 to 5000 employees,COMPANY - PRIVATE,CONSULTING,Business Services,$100 to $500 million (USD),137,171,154, DC,0,34.0,1,1,0,0,1,0,0,data scientist,na
15,EXPERIENCED DATA SCIENTIST,137-171 ,4.4,GUZMAN & GRIFFIN TECHNOLOGIES (GGTI),"Washington, DC","Mays Landing, NJ",1 to 50 employees,COMPANY - PRIVATE,FEDERAL AGENCIES,Government,Unknown / Non-Applicable,137,171,154, DC,0,23.0,1,1,1,1,0,1,0,data scientist,na
16,DATA SCIENTIST,137-171 ,3.5,BUCKMAN,"Memphis, TN","Memphis, TN",1001 to 5000 employees,COMPANY - PRIVATE,CHEMICAL MANUFACTURING,Manufacturing,$500 million to $1 billion (USD),137,171,154, TN,1,75.0,1,0,1,0,0,0,0,data scientist,na
17,DATA ANALYST II,137-171 ,4.2,"INSIGHT ENTERPRISES, INC.","Plano, TX","Tempe, AZ",5001 to 10000 employees,COMPANY - PUBLIC,ENTERPRISE SOFTWARE & NETWORK SOLUTIONS,Information Technology,$5 to $10 billion (USD),137,171,154, TX,0,32.0,0,1,0,0,0,0,0,analyst,na
18,MEDICAL LAB SCIENTIST,137-171 ,3.5,TOWER HEALTH,"West Grove, PA","Reading, PA",5001 to 10000 employees,NONPROFIT ORGANIZATION,HEALTH CARE SERVICES & HOSPITALS,Health Care,Unknown / Non-Applicable,137,171,154, PA,0,3.0,0,0,0,0,0,0,0,na,na
19,DATA SCIENTIST,137-171 ,3.2,TRIPLEBYTE,"New York, NY","San Francisco, CA",51 to 200 employees,COMPANY - PRIVATE,COMPUTER HARDWARE & SOFTWARE,Information Technology,Unknown / Non-Applicable,137,171,154, NY,0,5.0,0,0,0,0,0,0,0,data scientist,na
20,DATA SCIENTIST/MACHINE LEARNING,137-171 ,4.3,PULSEPOINT,"New York, NY","New York, NY",51 to 200 employees,COMPANY - PRIVATE,INTERNET,Information Technology,$100 to $500 million (USD),137,171,154, NY,1,9.0,1,0,1,1,0,0,1,data scientist,na
21,HUMAN FACTORS SCIENTIST,137-171 ,3.5,EXPONENT,"Phoenix, AZ","Menlo Park, CA",1001 to 5000 employees,COMPANY - PUBLIC,CONSULTING,Business Services,$100 to $500 million (USD),137,171,154, AZ,0,53.0,0,1,0,0,0,0,0,na,na
22,BUSINESS INTELLIGENCE ANALYST I- DATA INSIGHTS,137-171 ,3.5,GUARDIAN LIFE,"Appleton, WI","New York, NY",5001 to 10000 employees,COMPANY - PRIVATE,INSURANCE CARRIERS,Insurance,$5 to $10 billion (USD),137,171,154, WI,0,160.0,0,0,0,0,0,0,0,analyst,na
23,DATA SCIENTIST,137-171 ,3.4,SPECTRUM COMMUNICATIONS AND CONSULTING,"Chicago, IL","Chicago, IL",51 to 200 employees,COMPANY - PRIVATE,ADVERTISING & MARKETING,Business Services,$10 to $25 million (USD),137,171,154, IL,1,28.0,0,0,0,0,0,0,0,data scientist,na
24,DATA SCIENTIST,137-171 ,4.7,OVERSIGHT SYSTEMS,"Atlanta, GA","Atlanta, GA",51 to 200 employees,COMPANY - PRIVATE,COMPUTER HARDWARE & SOFTWARE,Information Technology,$25 to $50 million (USD),137,171,154, GA,1,17.0,1,1,0,0,0,0,0,data scientist,na
25,DATA SCIENTIST - RISK,137-171 ,4.2,LSQ,"Orlando, FL","Orlando, FL",51 to 200 employees,COMPANY - PRIVATE,INVESTMENT BANKING & ASSET MANAGEMENT,Finance,$100 to $500 million (USD),137,171,154, FL,1,24.0,1,1,1,1,1,1,1,data scientist,na
26,DATA SCIENTIST-HUMAN RESOURCES,137-171 ,3.8,MIT LINCOLN LABORATORY,"Lexington, MA","Lexington, MA",1001 to 5000 employees,NONPROFIT ORGANIZATION,AEROSPACE & DEFENSE,Aerospace & Defense,Unknown / Non-Applicable,137,171,154, MA,1,69.0,1,0,1,1,0,0,1,data scientist,na
27,DATA SCIENTIST,137-171 ,4.5,KINGFISHER SYSTEMS,"McLean, VA","Falls Church, VA",51 to 200 employees,COMPANY - PRIVATE,FEDERAL AGENCIES,Government,$25 to $50 million (USD),137,171,154, VA,0,15.0,1,0,0,0,0,1,0,data scientist,na
28,DATA SCIENTIST,137-171 ,2.8,FORMATION,"San Francisco, CA","San Francisco, CA",51 to 200 employees,COMPANY - PRIVATE,ENTERPRISE SOFTWARE & NETWORK SOLUTIONS,Information Technology,Unknown / Non-Applicable,137,171,154, CA,1,5.0,0,1,0,1,0,0,1,data scientist,na
29,DATA SCIENTIST,75-131 ,3.8,ANALYSIS GROUP,"Boston, MA","Boston, MA",1001 to 5000 employees,PRIVATE PRACTICE / FIRM,CONSULTING,Business Services,$100 to $500 million (USD),75,131,103, MA,1,39.0,1,1,0,0,1,0,0,data scientist,na
30,DATA SCIENTIST / MACHINE LEARNING EXPERT,75-131 ,3.9,NOVARTIS,"Cambridge, MA","Basel, Switzerland",10000+ employees,COMPANY - PUBLIC,BIOTECH & PHARMACEUTICALS,Biotech & Pharmaceuticals,$10+ billion (USD),75,131,103, MA,0,24.0,1,0,0,0,0,0,0,data scientist,na
31,DATA SCIENTIST,75-131 ,5.0,COHERE HEALTH,"Boston, MA","Boston, MA",1 to 50 employees,COMPANY - PRIVATE,IT SERVICES,Information Technology,Unknown / Non-Applicable,75,131,103, MA,1,1.0,1,1,0,0,0,0,0,data scientist,na
32,SENIOR RESEARCH STATISTICIAN- DATA SCIENTIST,75-131 ,4.8,ACUITY INSURANCE,"Sheboygan, WI","Sheboygan, WI",1001 to 5000 employees,COMPANY - PRIVATE,INSURANCE CARRIERS,Insurance,$1 to $2 billion (USD),75,131,103, WI,1,95.0,0,0,0,0,0,0,0,data scientist,senior
33,DATA ENGINEER,75-131 ,3.6,CHEF,United States,"Seattle, WA",201 to 500 employees,COMPANY - PRIVATE,ENTERPRISE SOFTWARE & NETWORK SOLUTIONS,Information Technology,$50 to $100 million (USD),75,131,103,US,0,12.0,0,1,0,0,1,0,1,data engineer,na
34,ASSOCIATE DATA SCIENTIST,75-131 ,3.3,PUGET SOUND ENERGY,"Bothell, WA","Bellevue, WA",1001 to 5000 employees,COMPANY - PRIVATE,UTILITIES,"Oil, Gas, Energy & Utilities",$2 to $5 billion (USD),75,131,103, WA,0,21.0,0,1,1,1,0,0,0,data scientist,na
35,BUSINESS INTELLIGENCE ANALYST,75-131 ,2.7,SANDHILLS GLOBAL,"Lincoln, NE","Lincoln, NE",1001 to 5000 employees,COMPANY - PRIVATE,ENTERPRISE SOFTWARE & NETWORK SOLUTIONS,Information Technology,$50 to $100 million (USD),75,131,103, NE,1,42.0,1,1,0,0,0,1,0,analyst,na
36,DATA SCIENTIST,75-131 ,2.7,A PLACE FOR MOM,"Overland Park, KS","New York, NY",501 to 1000 employees,COMPANY - PRIVATE,HEALTH CARE SERVICES & HOSPITALS,Health Care,Unknown / Non-Applicable,75,131,103, KS,0,20.0,1,1,0,0,1,0,0,data scientist,na
37,DATA SCIENTIST,75-131 ,2.2,GREAT-CIRCLE TECHNOLOGIES,"Chantilly, VA","Chantilly, VA",1 to 50 employees,COMPANY - PRIVATE,ENTERPRISE SOFTWARE & NETWORK SOLUTIONS,Information Technology,$1 to $5 million (USD),75,131,103, VA,1,20.0,1,1,1,1,1,0,0,data scientist,na
38,SENIOR ANALYST/DATA SCIENTIST,75-131 ,3.4,EDMUNDS.COM,"Santa Monica, CA","Santa Monica, CA",501 to 1000 employees,COMPANY - PRIVATE,INTERNET,Information Technology,$100 to $500 million (USD),75,131,103, CA,1,54.0,1,1,0,0,1,1,0,data scientist,senior
39,DATA ANALYST,75-131 ,3.1,"CAMBRIDGE ASSOCIATES, LLC","Boston, MA","Boston, MA",501 to 1000 employees,COMPANY - PRIVATE,INVESTMENT BANKING & ASSET MANAGEMENT,Finance,$100 to $500 million (USD),75,131,103, MA,1,47.0,1,1,0,0,0,0,0,analyst,na
40,MACHINE LEARNING ENGINEER,75-131 ,3.4,LIBERTY MUTUAL INSURANCE,"Portsmouth, NH","Boston, MA",10000+ employees,COMPANY - PRIVATE,INSURANCE CARRIERS,Insurance,$10+ billion (USD),75,131,103, NH,0,108.0,1,1,0,1,1,0,1,mle,na
41,DATA ANALYST I,75-131 ,2.6,CENLAR,"Ewing, NJ","Ewing, NJ",1001 to 5000 employees,COMPANY - PRIVATE,UNKNOWN,Unknown,$100 to $500 million (USD),75,131,103, NJ,1,62.0,0,0,0,0,0,0,0,analyst,na
42,SCIENTIST - MOLECULAR BIOLOGY,75-131 ,5.0,ARSENAL BIOSCIENCES,"South San Francisco, CA","South San Francisco, CA",51 to 200 employees,COMPANY - PRIVATE,BIOTECH & PHARMACEUTICALS,Biotech & Pharmaceuticals,Unknown / Non-Applicable,75,131,103, CA,1,1.0,0,0,0,0,0,0,0,na,na
43,DATA SCIENTIST,75-131 ,4.2,EVERSIGHT,"Palo Alto, CA","Palo Alto, CA",51 to 200 employees,COMPANY - PRIVATE,ENTERPRISE SOFTWARE & NETWORK SOLUTIONS,Information Technology,$10 to $25 million (USD),75,131,103, CA,1,7.0,1,0,0,0,0,0,0,data scientist,na
44,"COMPUTATIONAL SCIENTIST, MACHINE LEARNING",75-131 ,4.1,PFIZER,"Cambridge, MA","New York, NY",10000+ employees,COMPANY - PUBLIC,BIOTECH & PHARMACEUTICALS,Biotech & Pharmaceuticals,$10+ billion (USD),75,131,103, MA,0,171.0,1,1,0,0,1,0,0,mle,na
45,SENIOR DATA SCIENTIST,75-131 ,4.8,KLAVIYO,"Boston, MA","Boston, MA",201 to 500 employees,COMPANY - PRIVATE,COMPUTER HARDWARE & SOFTWARE,Information Technology,Unknown / Non-Applicable,75,131,103, MA,1,8.0,0,0,0,0,0,0,0,data scientist,senior
46,DATA SCIENTIST,75-131 ,3.3,INTELLECTUAL VENTURES,"Bellevue, WA","Bellevue, WA",501 to 1000 employees,COMPANY - PRIVATE,INVESTMENT BANKING & ASSET MANAGEMENT,Finance,Unknown / Non-Applicable,75,131,103, WA,1,20.0,1,1,0,0,0,0,0,data scientist,na
47,DATA SCIENTIST,75-131 ,3.7,GOVTECH,"San Francisco, CA","Singapore, Singapore",1001 to 5000 employees,GOVERNMENT,FEDERAL AGENCIES,Government,Unknown / Non-Applicable,75,131,103, CA,0,4.0,1,1,0,0,0,1,0,data scientist,na
48,DATA SCIENTIST,75-131 ,4.3,QUICK BASE,"Cambridge, MA","Cambridge, MA",201 to 500 employees,COMPANY - PRIVATE,ENTERPRISE SOFTWARE & NETWORK SOLUTIONS,Information Technology,Unknown / Non-Applicable,75,131,103, MA,1,21.0,1,1,0,0,0,1,0,data scientist,na
49,DATA ANALYST,75-131 ,4.8,GIVING ASSISTANT,"San Francisco, CA","San Francisco, CA",1 to 50 employees,COMPANY - PRIVATE,ADVERTISING & MARKETING,Business Services,$10 to $25 million (USD),75,131,103, CA,1,6.0,1,1,0,0,0,1,0,analyst,na
50,DATA SCIENTIST,75-131 ,3.7,TAKEDA,"Cambridge, MA","OSAKA, Japan",10000+ employees,COMPANY - PUBLIC,BIOTECH & PHARMACEUTICALS,Biotech & Pharmaceuticals,$10+ billion (USD),75,131,103, MA,0,239.0,1,0,0,1,0,0,0,data scientist,na
51,DATA SCIENTIST,75-131 ,4.0,NETSKOPE,"San Francisco, CA","Santa Clara, CA",501 to 1000 employees,COMPANY - PRIVATE,ENTERPRISE SOFTWARE & NETWORK SOLUTIONS,Information Technology,Unknown / Non-Applicable,75,131,103, CA,0,8.0,1,1,0,1,0,0,1,data scientist,na
52,E-COMMERCE DATA ANALYST,75-131 ,3.5,ISEATZ,"New Orleans, LA","New Orleans, LA",51 to 200 employees,COMPANY - PRIVATE,ENTERPRISE SOFTWARE & NETWORK SOLUTIONS,Information Technology,Unknown / Non-Applicable,75,131,103, LA,1,21.0,0,1,0,0,0,0,0,analyst,na
53,DATA ANALYTICS ENGINEER,75-131 ,3.7,SUMMA HEALTH SYSTEM,"Akron, OH","Akron, OH",5001 to 10000 employees,NONPROFIT ORGANIZATION,HEALTH CARE SERVICES & HOSPITALS,Health Care,$100 to $500 million (USD),75,131,103, OH,1,94.0,0,1,0,0,1,1,0,na,na
54,SENIOR DATA SCIENTIST,75-131 ,3.5,BENSON HILL,"Saint Louis, MO","Saint Louis, MO",201 to 500 employees,COMPANY - PRIVATE,BIOTECH & PHARMACEUTICALS,Biotech & Pharmaceuticals,$1 to $5 million (USD),75,131,103, MO,1,8.0,1,1,0,0,0,0,1,data scientist,senior
55,PRODUCT DATA SCIENTIST - ADS DATA SCIENCE,75-131 ,4.1,TWITTER,"San Francisco, CA","San Francisco, CA",1001 to 5000 employees,COMPANY - PUBLIC,INTERNET,Information Technology,$2 to $5 billion (USD),75,131,103, CA,1,14.0,1,0,0,0,0,0,0,data scientist,na
56,DATA SCIENTIST,75-131 ,3.2,POSTMATES - CORPORATE HQ,"San Francisco, CA","San Francisco, CA",1001 to 5000 employees,COMPANY - PRIVATE,EXPRESS DELIVERY SERVICES,Transportation & Logistics,Unknown / Non-Applicable,75,131,103, CA,1,9.0,1,0,0,1,0,0,0,data scientist,na
57,DATA SCIENTIST - INTERMEDIATE,75-131 ,4.5,ENVISION LLC,"Saint Louis, MO","Saint Louis, MO",201 to 500 employees,COMPANY - PRIVATE,STAFFING & OUTSOURCING,Business Services,$25 to $50 million (USD),75,131,103, MO,1,26.0,1,1,0,0,0,0,0,data scientist,na
58,DATA ANALYST,75-131 ,3.8,SWISS RE,"Fort Wayne, IN","Zurich, Switzerland",10000+ employees,COMPANY - PUBLIC,INSURANCE AGENCIES & BROKERAGES,Insurance,$10+ billion (USD),75,131,103, IN,0,157.0,1,1,0,0,0,0,0,analyst,na
59,MACHINE LEARNING ENGINEER,75-131 ,4.5,SYSTEMS & TECHNOLOGY RESEARCH,"Woburn, MA","Woburn, MA",201 to 500 employees,COMPANY - PRIVATE,AEROSPACE & DEFENSE,Aerospace & Defense,$100 to $500 million (USD),75,131,103, MA,1,10.0,1,1,0,0,0,0,0,mle,na
60,DATA SCIENTIST,79-131 ,3.5,IROBOT,"Bedford, MA","Bedford, MA",1001 to 5000 employees,COMPANY - PUBLIC,CONSUMER ELECTRONICS & APPLIANCES STORES,Retail,$1 to $2 billion (USD),79,131,105, MA,1,30.0,1,0,0,0,0,0,0,data scientist,na
61,DATA SCIENTIST,79-131 ,4.2,HG INSIGHTS,"Santa Barbara, CA","Santa Barbara, CA",51 to 200 employees,COMPANY - PRIVATE,COMPUTER HARDWARE & SOFTWARE,Information Technology,Unknown / Non-Applicable,79,131,105, CA,1,10.0,1,1,1,1,0,0,0,data scientist,na
62,GLOBAL DATA ANALYST,79-131 ,3.8,DERMALOGICA,"Carson, CA","Carson, CA",201 to 500 employees,SUBSIDIARY OR BUSINESS SEGMENT,CONSUMER PRODUCTS MANUFACTURING,Manufacturing,$100 to $500 million (USD),79,131,105, CA,1,34.0,0,1,0,0,0,1,0,analyst,na
63,DATA ENGINEER,79-131 ,3.7,BAYVIEW ASSET MANAGEMENT,"Coral Gables, FL","Coral Gables, FL",1001 to 5000 employees,COMPANY - PRIVATE,INVESTMENT BANKING & ASSET MANAGEMENT,Finance,$100 to $500 million (USD),79,131,105, FL,1,25.0,1,0,0,0,0,0,0,data engineer,na
64,DATA SCIENTIST,79-131 ,3.7,VIA TRANSPORTATION,"New York, NY","New York, NY",501 to 1000 employees,COMPANY - PRIVATE,INTERNET,Information Technology,Unknown / Non-Applicable,79,131,105, NY,1,8.0,1,0,0,0,0,1,0,data scientist,na
65,DATA SCIENTIST,79-131 ,4.0,GRID DYNAMICS,"Santa Clara, CA","San Ramon, CA",1001 to 5000 employees,COMPANY - PRIVATE,ENTERPRISE SOFTWARE & NETWORK SOLUTIONS,Information Technology,$50 to $100 million (USD),79,131,105, CA,0,14.0,1,1,0,0,0,1,1,data scientist,na
66,DATA & MACHINE LEARNING SCIENTIST,79-131 ,3.3,TEMPUS LABS,"Chicago, IL","Chicago, IL",501 to 1000 employees,COMPANY - PRIVATE,BIOTECH & PHARMACEUTICALS,Biotech & Pharmaceuticals,Unknown / Non-Applicable,79,131,105, IL,1,5.0,1,0,0,0,1,0,0,mle,na
67,DATA SCIENTIST - MACHINE LEARNING,79-131 ,2.5,CAREDX,"Brisbane, CA","Brisbane, CA",1 to 50 employees,COMPANY - PRIVATE,BIOTECH & PHARMACEUTICALS,Biotech & Pharmaceuticals,Unknown / Non-Applicable,79,131,105, CA,1,21.0,1,1,0,1,0,0,0,data scientist,na
68,DATA ENGINEER (REMOTE),79-131 ,4.2,IZEA,"Winter Park, FL","Winter Park, FL",51 to 200 employees,COMPANY - PUBLIC,ADVERTISING & MARKETING,Business Services,$25 to $50 million (USD),79,131,105, FL,1,14.0,1,1,1,1,1,0,0,data engineer,na
69,"DATA SCIENTIST, APPLIED MACHINE LEARNING - BAY AREA",79-131 ,3.3,TEMPUS LABS,"Redwood City, CA","Chicago, IL",501 to 1000 employees,COMPANY - PRIVATE,BIOTECH & PHARMACEUTICALS,Biotech & Pharmaceuticals,Unknown / Non-Applicable,79,131,105, CA,0,5.0,1,0,0,0,1,0,0,data scientist,na
70,PRINCIPAL DATA SCIENTIST,79-131 ,4.0,AUTODESK,"San Francisco, CA","San Rafael, CA",5001 to 10000 employees,COMPANY - PUBLIC,COMPUTER HARDWARE & SOFTWARE,Information Technology,$2 to $5 billion (USD),79,131,105, CA,0,38.0,1,1,1,1,1,0,1,data scientist,senior
71,BUSINESS DATA ANALYST,79-131 ,3.7,CATERPILLAR,"Peoria, IL","Deerfield, IL",10000+ employees,COMPANY - PUBLIC,INDUSTRIAL MANUFACTURING,Manufacturing,$10+ billion (USD),79,131,105, IL,0,95.0,0,1,0,0,0,1,0,analyst,na
72,PURIFICATION SCIENTIST,79-131 ,4.9,NEW ENGLAND BIOLABS,"Ipswich, MA","Ipswich, MA",201 to 500 employees,COMPANY - PRIVATE,BIOTECH & PHARMACEUTICALS,Biotech & Pharmaceuticals,Unknown / Non-Applicable,79,131,105, MA,1,46.0,0,0,0,0,0,0,0,na,na
73,DATA ANALYST,79-131 ,3.4,ALLIED SOLUTIONS,"Carmel, IN","Carmel, IN",1001 to 5000 employees,SUBSIDIARY OR BUSINESS SEGMENT,INSURANCE AGENCIES & BROKERAGES,Insurance,$100 to $500 million (USD),79,131,105, IN,1,19.0,1,1,0,0,0,1,0,analyst,na
74,"DATA ENGINEER, ENTERPRISE ANALYTICS",79-131 ,3.1,HEALTHFIRST,"New York, NY","New York, NY",1001 to 5000 employees,NONPROFIT ORGANIZATION,INSURANCE CARRIERS,Insurance,Unknown / Non-Applicable,79,131,105, NY,1,27.0,1,1,0,0,0,0,1,data engineer,na
75,DATA SCIENTIST,79-131 ,3.5,THE KNOT WORLDWIDE,"Washington, DC","Chevy Chase, MD",1001 to 5000 employees,COMPANY - PRIVATE,INTERNET,Information Technology,Unknown / Non-Applicable,79,131,105, DC,0,1.0,1,0,0,1,1,0,0,data scientist,na
76,DATA SCIENTIST,79-131 ,2.9,IFG COMPANIES,"New York, NY","Hartford, CT",201 to 500 employees,COMPANY - PRIVATE,INSURANCE CARRIERS,Insurance,Unknown / Non-Applicable,79,131,105, NY,0,35.0,1,0,0,0,0,0,0,data scientist,na
77,DATA SCIENTIST 3 (718),79-131 ,3.3,AMYRIS,"Emeryville, CA","Emeryville, CA",201 to 500 employees,COMPANY - PUBLIC,BIOTECH & PHARMACEUTICALS,Biotech & Pharmaceuticals,$100 to $500 million (USD),79,131,105, CA,1,17.0,1,0,0,0,1,0,0,data scientist,na
78,"REAL WORLD SCIENCE, DATA SCIENTIST",79-131 ,4.0,ASTRAZENECA,"Gaithersburg, MD","Cambridge, United Kingdom",10000+ employees,COMPANY - PUBLIC,BIOTECH & PHARMACEUTICALS,Biotech & Pharmaceuticals,$10+ billion (USD),79,131,105, MD,0,107.0,1,0,1,0,0,0,0,data scientist,na
79,DATA SCIENTIST,79-131 ,3.6,POWERTEK,"Washington, DC","Rockville, MD",51 to 200 employees,COMPANY - PRIVATE,IT SERVICES,Information Technology,$25 to $50 million (USD),79,131,105, DC,0,19.0,0,0,0,0,0,0,0,data scientist,na
80,DATA ENGINEER,79-131 ,4.7,OBJECT PARTNERS,"Saint Louis, MO","Minneapolis, MN",51 to 200 employees,COMPANY - PRIVATE,CONSULTING,Business Services,$25 to $50 million (USD),79,131,105, MO,0,24.0,0,0,1,1,1,0,1,data engineer,na
81,DATA SCIENTIST - IMAGE AND VIDEO ANALYTICS,79-131 ,4.9,THE MOM PROJECT,"Longmont, CO","Chicago, IL",1 to 50 employees,COMPANY - PRIVATE,STAFFING & OUTSOURCING,Business Services,Unknown / Non-Applicable,79,131,105, CO,0,4.0,1,0,1,1,1,0,0,data scientist,na
82,DATA SCIENTIST,79-131 ,4.3,LIGHTSPEED SYSTEMS,"Austin, TX","Austin, TX",51 to 200 employees,COMPANY - PRIVATE,COMPUTER HARDWARE & SOFTWARE,Information Technology,$25 to $50 million (USD),79,131,105, TX,1,21.0,1,0,0,1,1,0,0,data scientist,na
83,"DATA SCIENCE MANAGER, PAYMENT ACCEPTANCE - USA",79-131 ,4.0,STRIPE,"San Francisco, CA","San Francisco, CA",1001 to 5000 employees,COMPANY - PRIVATE,INTERNET,Information Technology,Unknown / Non-Applicable,79,131,105, CA,1,10.0,1,0,0,0,0,0,0,manager,na
84,DATA ANALYST,79-131 ,2.6,COMPREHENSIVE HEALTHCARE,"Yakima, WA","Yakima, WA",501 to 1000 employees,NONPROFIT ORGANIZATION,HEALTH CARE SERVICES & HOSPITALS,Health Care,Unknown / Non-Applicable,79,131,105, WA,1,49.0,0,0,0,0,0,0,0,analyst,na
85,DATA SCIENTIST / APPLIED MATHEMATICIAN,79-131 ,4.5,"FULLPOWER TECHNOLOGIES, INC.","Santa Cruz, CA","Santa Cruz, CA",51 to 200 employees,COMPANY - PRIVATE,COMPUTER HARDWARE & SOFTWARE,Information Technology,$10 to $25 million (USD),79,131,105, CA,1,17.0,1,0,0,0,1,0,1,data scientist,na
86,MACHINE LEARNING ENGINEER,79-131 ,4.8,KLAVIYO,"Boston, MA","Boston, MA",201 to 500 employees,COMPANY - PRIVATE,COMPUTER HARDWARE & SOFTWARE,Information Technology,Unknown / Non-Applicable,79,131,105, MA,1,8.0,1,0,0,0,0,0,0,mle,na
87,DATA SCIENTIST,79-131 ,3.9,MARS,United States,"Mc Lean, VA",10000+ employees,COMPANY - PRIVATE,FOOD & BEVERAGE MANUFACTURING,Manufacturing,$10+ billion (USD),79,131,105,US,0,109.0,1,0,0,1,1,0,0,data scientist,na
88,PATIENT SAFETY- ASSOCIATE DATA SCIENTIST,79-131 ,4.0,ASTRAZENECA,"Gaithersburg, MD","Cambridge, United Kingdom",10000+ employees,COMPANY - PUBLIC,BIOTECH & PHARMACEUTICALS,Biotech & Pharmaceuticals,$10+ billion (USD),79,131,105, MD,0,107.0,1,1,0,0,0,0,0,data scientist,na
